Month,Day,Year,Price,totalCirculation,totalTransactionFees,numberOfUniqueBitcoinAddressesUsed,totalOutputVolumeValue,averageNumberOfTransactionsPerBlock
7,4,2010,0,3214250,0,223,21766.5,1
7,5,2010,0,3223050,0,215,59620,1
7,6,2010,0,3231450,0,209,37157.51,1
7,7,2010,0,3239150,0,215,61310.31,3
7,8,2010,0,3247050,0,236,21542.94,2
7,9,2010,0,3256500,0,262,25316,9
7,10,2010,0,3266250,0,237,30853.74,2
7,11,2010,0,3275100,0,240,33656.99,2
7,12,2010,0,3300750,0,2822,2490710.99,2
7,13,2010,0,3337950,0,2122,375367.98,2
7,14,2010,0,3366650,0.01,6109,457056.19,2
7,15,2010,0,3397850,0.61,2015,108133.06,3
7,16,2010,0,3427750,0.23,1683,99601.75,2
7,17,2010,0,3436900,0.09,548,44761.64,2
7,18,2010,0,3445850,0.66,549,42807.91,2
7,19,2010,0,3454050,0.31,606,56879.76,2
7,20,2010,0,3462950,0,757,38158.85,10
7,21,2010,0,3473050,0,536,36352.93,1
7,22,2010,0,3482400,0,498,43947.49,2
7,23,2010,0,3492100,0.01,464,40387.12,2
7,24,2010,0,3501350,0,450,41380.86,19
7,25,2010,0,3512050,2.87,2173,61276.82,1
7,26,2010,0,3525050,0.24,522,54379.25,1
7,27,2010,0,3533800,1.9,551,83431.72,1
7,28,2010,0,3541900,0.17,413,34422.77,1
7,29,2010,0,3550650,0.95,393,67470.65,2
7,30,2010,0,3559750,1.04,420,38727.83,1
7,31,2010,0,3569200,0.41,348,26849.89,2
8,1,2010,0,3580250,0.19,373,275826.17,2
8,2,2010,0,3592950,0.36,456,80756.88,2
8,3,2010,0,3604350,0,668,35410.38,1
8,4,2010,0,3615750,0,421,43476.55,2
8,5,2010,0,3627950,0,787,63196.35,1
8,6,2010,0,3636000,0,418,27828.86,1
8,7,2010,0,3643100,2.31,334,34545.32,1
8,8,2010,0,3652700,0,365,24398.03,2
8,9,2010,0,3662150,0,461,42164.61,1
8,10,2010,0,3672500,4.32,467,79568.17,1
8,11,2010,0,3683350,0,425,64335.31,2
8,12,2010,0,3694250,0,462,37502.57,2
8,13,2010,0,3705100,0,600,45207.98,2
8,14,2010,0,3718150,0,450,32041.73,2
8,15,2010,0,3731900,0,402,32624.12,2
8,16,2010,0,3737700,0,387,41918.88,1
8,17,2010,0.0769,3744250,0.67,393,72855.15,1
8,18,2010,0.074,3750900,1.56,449,52829.65,1
8,19,2010,0.0688,3757900,0,395,32027.42,1
8,20,2010,0.0667,3766250,0,433,36647.52,1
8,21,2010,0.066899,3775450,0,396,33790.41,1
8,22,2010,0.0664,3785400,0,358,45810.46,1
8,23,2010,0.066,3796250,0,431,29274.46,1
8,24,2010,0.066889,3806500,0,393,28624.03,1
8,25,2010,0.0665,3817850,0.8,414,24234.76,1
8,26,2010,0.066499,3828250,0,391,30534.45,2
8,27,2010,0.065,3837150,0,316,21534.39,2
8,28,2010,0.065,3846100,0.0000005,393,39471.26,2
8,29,2010,0.0648,3854000,0.1400006,300,18946.77999,1
